COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,value,index
USA,XDC_USD,EOP_RT,Q,2000-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2000-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2000-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2000-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2001-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2001-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2001-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2001-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2002-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2002-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2002-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2002-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2003-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2003-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2003-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2003-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2004-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2004-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2004-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2004-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2005-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2005-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2005-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2005-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2006-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2006-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2006-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2006-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2007-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2007-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2007-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2007-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2008-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2008-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2008-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2008-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2009-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2009-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2009-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2009-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2010-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2010-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2010-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2010-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2011-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2011-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2011-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2011-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2012-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2012-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2012-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2012-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2013-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2013-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2013-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2013-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2014-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2014-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2014-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2014-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2015-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2015-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2015-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2015-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2016-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2016-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2016-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2016-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2017-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2017-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2017-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2017-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2018-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2018-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2018-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2018-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2019-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2019-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2019-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2019-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2020-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2020-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2020-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2020-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2021-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2021-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2021-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2021-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2022-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2022-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2022-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2022-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2023-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2023-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2023-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2023-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2024-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2024-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2024-Q3,1.0,
USA,XDC_USD,EOP_RT,Q,2024-Q4,1.0,
USA,XDC_USD,EOP_RT,Q,2025-Q1,1.0,
USA,XDC_USD,EOP_RT,Q,2025-Q2,1.0,
USA,XDC_USD,EOP_RT,Q,2025-Q3,1.0,
USA,XDC_USD,PA_RT,Q,2000-Q1,1.0,
USA,XDC_USD,PA_RT,Q,2000-Q2,1.0,
USA,XDC_USD,PA_RT,Q,2000-Q3,1.0,
USA,XDC_USD,PA_RT,Q,2000-Q4,1.0,
USA,XDC_USD,PA_RT,Q,2001-Q1,1.0,
USA,XDC_USD,PA_RT,Q,2001-Q2,1.0,
USA,XDC_USD,PA_RT,Q,2001-Q3,1.0,
USA,XDC_USD,PA_RT,Q,2001-Q4,1.0,
USA,XDC_USD,PA_RT,Q,2002-Q1,1.0,
