CL_BOP_ACCOUNTING_ENTRY,Balance of Payments (BOP) BOP Accounting Entry
CD_T,Credit/Revenue
DB_T,Debit/Expenditure
A_NFA_T,"Assets, Net acquisition of financial assets"
NETCD_T,Net (credits less debits)
L_NIL_T,"Liabilities, Net incurrence of liabilities"
L_T,Liabilities
A_T,Assets
NNAFANIL_T,"Net (net acquisition of financial assets less net incurrence of liabilities), Transactions"
NEGCD_T,Negative Credit/Revenue
A_P,"Assets, Positions"
L_P,"Liabilities, Positions"
L_NIL_P,Net incurrence of liabilities
NETAL_P,Net (assets less liabilities)
NETAL_T,"Net (credits less debits), Transactions"
NNAFANIL_P,"Net (net acquisition of financial assets less net incurrence of liabilities), Positions"
_T,Total
_X,Not allocated/unspecified
_Z,Not applicable
A,Assets
ACO,"Assets, Claims on"
ACOCT,"Assets, Claims on, Credit to"
ACOOCO,"Assets, Claims on, Other claims on"
AD,Gross sales of assets (decrease)
AG,Assets (gross)
AI,Gross acquisition of assets (increase)
AN,Assets (net)
AS,Assets - short position
ASN,Assets (short or negative positions)
B,Balance (credits minus debits)
C,Credit (Resources)
C_EN,Credit (Environment + Economy)
CD,Credit/Revenue
CL,Contingent liabilities
CO,Claims
CT,Credit to
CXEF,Credit (excluding exceptional financing)
D,Debit (Uses)
D_EN,Debit (Environment + Economy)
DA,Domestic (adjustment)
DB,Debit/Expenditure
DE,End use
DE_EN,End use (Environment + Economy)
DER,"End use, of which emissions relevant"
DL,Liabilities (domestic)
DT,Transformation use
DT_EN,Transformation use (Environment + Economy)
EC,Economy to environment
EN,Environment to economy
FA,Financial assets
FAA,Financial assets (adjustment)
FAD,Financial assets (domestic)
FADJ,Foreign (adjustment)
FAF,Financial assets (foreign)
FI,Inflows (reserves template)
FN,Net flows (reserves template)
FO,Outflows (reserves template)
GR,Gross
II,Net income on inward FDI
IN,Inflows
IO,Net income on outward FDI
L,Liabilities
LA,Liabilities (adjustment)
LD,Gross decrease in liabilities
LF,Liabilities (foreign)
LG,Liabilities (gross)
LI,Gross incurrence of liabilities
LT,Liabilities to
LTCO,"Liabilties to, Claims on"
LU,Liabilities: Unofficial
LXEF,Liabilities (excluding exceptional financing)
N,Net (assets minus liabilities)
NAFAXC,Net acquisition of financial assets other than cash
NCO,Net Claims on
NCOCO,"Net Claims on, Claims on"
NCOLT,"Net Claims on, Liabilities to"
NCT,Net Credit to
NCTCO,"Net Credit to, Claims on"
NCTLT,"Net Credit, Liabilities to"
NE,Net Liabilities (liabilities minus assets)
NEGCD,Negative Credit/Revenue
NETAD,Net (acquisitions less disposals)
NETAL,Net (assets less liabilities)
NETCD,Net (credits less debits)
NETLA,Net (liabilities less assets)
NETRP,Net (receivables less payables)
NFRA,Net foreign assets
NFRACO,"Net Foreign Assets, Claims on"
NFRALT,"Net Foreign Assets, Liabilities to"
NGSI,"Balance on goods, services, and income"
NI,Net FDI inward
NO,Net FDI outward
OLT,Other Liabilities to
PB,Provided by
PL,Private liabilities
PT,Provided to
LO,Liabilities: Official
NNAFANIL,Net (net acquisition of financial assets less net incurrence of liabilities)
