CL_IRFCL_INDICATOR_PUB,International Reserves and Foreign Currency Liquidity (IRFCL) Indicator
IRFCLDT2_T_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total"
IRFCLDT3_T_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total"
IRFCLDT2_T_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total"
IRFCLDT3_T_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total"
IRFCLDT3_T_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total"
IRFCLDT3_IRFCL95T_PB_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by"
IRFCLDT3_IRFCL95T_PT_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to"
IRFCLDT2_IRFCL78_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits"
IRFCLDT3_IRFCL84_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total foreign currency securities issued with embedded options (puttable bonds)"
IRFCLDT3_IRFCL84_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total foreign currency securities issued with embedded options (puttable bonds)"
IRFCLDT2_IRFCL78_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits"
IRFCLDT2_IRFCL85_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets"
IRFCLDT3_IRFCL95T_PT_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to"
IRFCLDT2_IRFCL85_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets"
IRFCLDT2_IRFCL85_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets"
IRFCLDT3_IRFCL84_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total foreign currency securities issued with embedded options (puttable bonds)"
IRFCLDT3_IRFCL95T_PT_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to"
IRFCLDT2_IRFCL78_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits"
IRFCLDT3_IRFCL95T_PB_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by"
IRFCLDT3_IRFCL95T_PB_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by"
IRFCLDT2_USD_IRFCL13,Predetermined short-term net drains on foreign currency assets (nominal value)
IRFCLDT2_IRFCL50T_IN_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, trade credit, Inflows"
IRFCLDT3_SUTM_CL_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month, Contingent liabilities"
IRFCLDT2_IRFCL50T_IN_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, trade credit, Inflows"
IRFCLDT2_IRFCL50T_IN_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, trade credit, Inflows"
IRFCLDT2_IRFCL47T_IN_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts receivable, Inflows"
IRFCLDT2_IRFCL79_IN_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Inflows"
IRFCLDT2_IRFCL80_IN_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Inflows"
IRFCLDT3_SUTM_CL_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month, Contingent liabilities"
IRFCLDT3_SUTM_CL_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month, Contingent liabilities"
IRFCLDT2_IRFCL79_IN_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Inflows"
IRFCLDT2_IRFCL80_IN_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Inflows"
IRFCLDT2_IRFCL79_IN_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Inflows"
IRFCLDT2_IRFCL80_IN_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Inflows"
IRFCLDT3_CL_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Contingent liabilities"
IRFCLDT2_IRFCL79_FO_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Outflows (reserves template)"
IRFCLDT3_IRFCL5T_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Short positions"
IRFCLDT3_IRFCL5T_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Long positions"
IRFCLDT2_IRFCL79_FO_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Outflows (reserves template)"
IRFCLDT2_IRFCL79_FO_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, interest, Outflows (reserves template)"
IRFCLDT3_IRFCL5T_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Short positions"
IRFCLDT3_IRFCL5T_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Short positions"
IRFCLDT3_IRFCL5T_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Long positions"
IRFCLDT3_IRFCL5T_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Long positions"
IRFCLDT3_CL_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Contingent liabilities"
IRFCLDT3_IRFCL5T_EC10_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, In-the-money Options, Other, Short positions"
IRFCLDT3_CL_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Contingent liabilities"
IRFCLDT3_IRFCL5T_EC10_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, In-the-money Options, Other, Long positions"
IRFCLDT2_IRFCL80_FO_XDC_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Outflows (reserves template)"
IRFCLDT2_IRFCL80_FO_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Outflows (reserves template)"
IRFCLDT2_IRFCL80_FO_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total foreign currency loans securities and deposits, principal, Outflows (reserves template)"
