FREQ,TERRITORIAL_LEVEL,REF_AREA,TERRITORIAL_TYPE,MEASURE,AGE,SEX,UNIT_MEASURE,TIME_PERIOD,value
A,CTRY,JPN,_Z,POP,_T,F,PS,2010,65729000.0
A,CTRY,AUS,_Z,POP,_T,F,PS,2010,11063919.0
A,CTRY,USA,_Z,POP,_T,F,PS,2010,156969328.0
A,CTRY,GBR,_Z,POP,_T,F,PS,2010,31954200.0
A,CTRY,KOR,_Z,POP,_T,F,PS,2010,24672998.0
A,CTRY,NLD,_Z,POP,_T,F,PS,2010,8371513.0
A,CTRY,ESP,_Z,POP,_T,F,PS,2010,23504347.0
A,CTRY,USA,_Z,POP,_T,M,PS,2010,152077018.0
A,CTRY,ESP,_Z,POP,_T,M,PS,2010,22982272.0
A,CTRY,GBR,_Z,POP,_T,M,PS,2010,30805400.0
A,CTRY,JPN,_Z,POP,_T,M,PS,2010,62329000.0
A,CTRY,NLD,_Z,POP,_T,M,PS,2010,8203476.0
A,CTRY,AUS,_Z,POP,_T,M,PS,2010,10967831.0
A,CTRY,KOR,_Z,POP,_T,M,PS,2010,24881114.0
A,CTRY,USA,_Z,POP,_T,_T,PS,2010,309321666.0
A,CTRY,AUS,_Z,POP,_T,_T,PS,2010,22031750.0
A,CTRY,KOR,_Z,POP,_T,_T,PS,2010,49554112.0
A,CTRY,JPN,_Z,POP,_T,_T,PS,2010,128054000.0
A,CTRY,ESP,_Z,POP,_T,_T,PS,2010,46486619.0
A,CTRY,IND,_Z,POP,_T,_T,PS,2010,1201133000.0
A,CTRY,CHN,_Z,POP,_T,_T,PS,2010,1333850000.0
A,CTRY,NLD,_Z,POP,_T,_T,PS,2010,16574989.0
A,CTRY,FRA,_Z,POP,_T,M,PS,2010,31301764.0
A,CTRY,FRA,_Z,POP,_T,F,PS,2010,33357092.0
A,CTRY,FRA,_Z,POP,_T,_T,PS,2010,64658856.0
A,CTRY,DEU,_Z,POP,_T,M,PS,2010,40103606.0
A,CTRY,DEU,_Z,POP,_T,F,PS,2010,41698651.0
A,CTRY,DEU,_Z,POP,_T,_T,PS,2010,81802257.0
A,CTRY,USA,_Z,POP,_T,M,PS,2011,153211825.0
A,CTRY,ESP,_Z,POP,_T,M,PS,2011,23049480.0
A,CTRY,GBR,_Z,POP,_T,M,PS,2011,31097300.0
A,CTRY,JPN,_Z,POP,_T,M,PS,2011,62182000.0
A,CTRY,IND,_Z,POP,_T,M,PS,2011,623724248.0
A,CTRY,FRA,_Z,POP,_T,M,PS,2011,31462902.0
A,CTRY,NLD,_Z,POP,_T,M,PS,2011,8243482.0
A,CTRY,AUS,_Z,POP,_T,M,PS,2011,11118234.0
A,CTRY,KOR,_Z,POP,_T,M,PS,2011,25069867.0
A,CTRY,JPN,_Z,POP,_T,F,PS,2011,65615000.0
A,CTRY,AUS,_Z,POP,_T,F,PS,2011,11221790.0
A,CTRY,USA,_Z,POP,_T,F,PS,2011,157249067.0
A,CTRY,GBR,_Z,POP,_T,F,PS,2011,32187800.0
A,CTRY,KOR,_Z,POP,_T,F,PS,2011,24866771.0
A,CTRY,IND,_Z,POP,_T,F,PS,2011,586469174.0
A,CTRY,FRA,_Z,POP,_T,F,PS,2011,33515819.0
A,CTRY,NLD,_Z,POP,_T,F,PS,2011,8412317.0
