CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
D9_S1W,"Capital transfers, Financial corporations, nonfinancial corporations, households, and NPISHs"
IN2_S1W,"Secondary income, Financial corporations, nonfinancial corporations, households, and NPISHs"
O_F6,"Other investment, Insurance, pension and standardized guarantee schemes"
O_F6_S121,"Other investment, Insurance, pension and standardized guarantee schemes, Central bank"
O_F6_S13,"Other investment, Insurance, pension and standardized guarantee schemes, General government"
D9_S13,"Capital transfers, General government"
D99A_S1W,"Other capital transfers: debt forgiveness, Financial corporations, nonfinancial corporations, households, and NPISHs"
D9A_S1W,"Capital transfers other than debt forgiveness, Financial corporations, nonfinancial corporations, households, and NPISHs"
IN22_S1W,"Other current transfers excluding personal transfers, Financial corporations, nonfinancial corporations, households, and NPISHs"
F4CF4IMFN,Net credit and loans from the IMF (excluding reserve position)
IN2_S13,"Secondary income, General government"
O_F6_S1X,"Other investment, Insurance, pension and standardized guarantee schemes, Monetary authorities"
O_F6_S12R,"Other investment, Insurance, pension and standardized guarantee schemes, Other financial corporations"
D75_S1W,"Miscellaneous current transfers, Financial corporations, nonfinancial corporations, households, and NPISHs"
O_F519_MV,"Other investment, Other equity"
D91_S1W,"Capital taxes, Financial corporations, nonfinancial corporations, households, and NPISHs"
D62_S1W,"Social benefits, Financial corporations, nonfinancial corporations, households, and NPISHs"
OXEF,"Other investment, excluding exceptional financing"
D61_S1W,"Social contributions, Financial corporations, nonfinancial corporations, households, and NPISHs"
O_F6_S122,"Other investment, Insurance, pension and standardized guarantee schemes, Deposit taking corporations, except the Central Bank"
D72_S1W,"Nonlife insurance claims, Financial corporations, nonfinancial corporations, households, and NPISHs"
D5_S1W,"Current taxes on income, wealth, etc., Financial corporations, nonfinancial corporations, households, and NPISHs"
SDA1,"Travel; business; acquisition of goods and services by border, seasonal, and other short-term workers"
O_F81_S121_L,"Other investment, Trade credits and advances, Central bank, Long-term"
D_FL_FEF71,"Direct investment, Debt instruments, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing)"
